rank,prev_rank,name,league,off,def,spi
481,487,Doncaster Rovers,English League One,0.99,1.8,28.31
482,480,Larissa,Greek Super League,0.7,1.38,28.18
483,478,Ankaragucu,Turkish Turkcell Super Lig,0.92,1.7,28.05
484,494,Frosinone,Italy Serie B,0.79,1.52,28.01
485,471,CD Sabadell,Spanish Segunda Division,0.89,1.67,27.88
486,477,Real Zaragoza,Spanish Segunda Division,0.8,1.55,27.87
487,486,San Antonio FC,United Soccer League,1.03,1.88,27.84
488,492,F.B.C Unione Venezia,Italy Serie B,0.83,1.6,27.8
489,438,Ipswich Town,English League One,0.85,1.63,27.74
490,490,AC Ajaccio,French Ligue 2,0.76,1.5,27.64
491,469,AS Nancy Lorraine,French Ligue 2,0.75,1.49,27.63
492,489,Lamia,Greek Super League,0.55,1.18,27.53
493,474,Orebro SK,Swedish Allsvenskan,0.96,1.81,27.33
494,491,DC United,Major League Soccer,1.02,1.91,27.15
495,511,AC Horsens,Danish SAS-Ligaen,0.88,1.72,26.97
496,497,Niort,French Ligue 2,0.97,1.85,26.84
497,495,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
498,496,Western Sydney FC,Australian A-League,1.07,2,26.8
499,484,ADO Den Haag,Dutch Eredivisie,1.07,2.01,26.74
500,499,Melbourne Victory,Australian A-League,1.07,2.01,26.6
501,498,Dunkerque,French Ligue 2,0.78,1.59,26.59
502,503,Western United,Australian A-League,1.02,1.96,26.35
503,488,Castellon,Spanish Segunda Division,0.82,1.67,26.32
504,504,Brisbane Roar,Australian A-League,0.91,1.81,26.16
505,518,Waasland-Beveren,Belgian Jupiler League,1.02,1.97,26.09
506,506,Haugesund,Norwegian Tippeligaen,0.98,1.92,25.96
507,507,FC Xanthi,Greek Super League,0.58,1.33,25.81
508,500,Oita Trinita,Japanese J League,0.66,1.46,25.66
509,513,Pau,French Ligue 2,0.8,1.68,25.61
510,475,Albacete,Spanish Segunda Division,0.64,1.45,25.34
511,516,Stabaek,Norwegian Tippeligaen,0.81,1.71,25.24
512,510,Salernitana,Italy Serie B,0.83,1.75,25.18
513,508,Würzburger Kickers,German 2. Bundesliga,0.86,1.8,25.17
514,522,Pordenone Calcio,Italy Serie B,0.77,1.67,25
515,523,Shimizu S-Pulse,Japanese J League,1.06,2.12,24.87
516,509,IK Sirius,Swedish Allsvenskan,0.98,2.01,24.81
517,520,Chateauroux,French Ligue 2,0.76,1.68,24.57
518,525,Sarpsborg,Norwegian Tippeligaen,0.78,1.72,24.37
519,548,SK Brann,Norwegian Tippeligaen,0.92,1.95,24.29
520,517,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
521,514,Reggina,Italy Serie B,0.76,1.7,24.2
522,519,Livingston,Scottish Premiership,0.83,1.82,24.12
523,515,Sagan Tosu,Japanese J League,0.66,1.56,24.12
524,521,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
525,535,Cremonese,Italy Serie B,0.7,1.63,24
526,512,Eintracht Braunschweig,German 2. Bundesliga,0.83,1.83,23.99
527,526,Sacramento Republic FC,United Soccer League,0.8,1.8,23.75
528,527,FC Cincinnati,Major League Soccer,0.75,1.72,23.73
529,524,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.02,2.15,23.65
530,528,Lyngby,Danish SAS-Ligaen,0.88,1.96,23.18
531,530,Vancouver Whitecaps,Major League Soccer,0.84,1.9,23.13
532,529,Salford City,English League Two,0.78,1.81,23.09
533,531,New Mexico United,United Soccer League,0.81,1.88,22.97
534,532,Rodez,French Ligue 2,0.71,1.71,22.91
535,544,St Johnstone,Scottish Premiership,0.68,1.67,22.69
536,538,Lincoln City,English League One,0.66,1.67,22.45
537,536,Dundee Utd,Scottish Premiership,0.68,1.7,22.42
538,537,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
539,550,Vegalta Sendai,Japanese J League,0.8,1.9,22.22
540,551,Vicenza,Italy Serie B,0.79,1.89,22.16
541,543,Chambly Thelle FC,French Ligue 2,0.71,1.78,21.92
542,540,Orange County SC,United Soccer League,0.77,1.88,21.91
543,534,Oxford United,English League One,0.81,1.95,21.9
544,541,El Paso Locomotive FC,United Soccer League,0.66,1.7,21.89
545,542,Panionios,Greek Super League,0.51,1.45,21.84
546,545,Austin Bold FC,United Soccer League,0.94,2.16,21.69
547,539,Cosenza,Italy Serie B,0.7,1.78,21.67
548,546,Charleston Battery,United Soccer League,0.74,1.86,21.6
549,533,Pisa,Italy Serie B,0.77,1.9,21.54
550,552,Stromsgodset,Norwegian Tippeligaen,0.89,2.11,21.29
551,553,Volos NFC,Greek Super League,0.65,1.73,21.22
552,547,Helsingborgs IF,Swedish Allsvenskan,0.72,1.86,21.14
553,554,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
554,559,Shonan Bellmare,Japanese J League,0.64,1.72,21.05
555,558,Indy Eleven,United Soccer League,0.68,1.84,20.5
556,560,Blackpool,English League One,0.69,1.85,20.46
557,556,Milton Keynes Dons,English League One,0.71,1.88,20.44
558,555,Virtus Entella,Italy Serie B,0.64,1.78,20.15
559,561,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
560,557,IK Start,Norwegian Tippeligaen,0.76,2.02,19.7
561,562,St Mirren,Scottish Premiership,0.55,1.67,19.61
562,568,Gillingham,English League One,0.59,1.78,19.21
563,549,Östersunds FK,Swedish Allsvenskan,0.67,1.93,19.02
564,565,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
565,592,Exeter City,English League Two,0.76,2.08,18.94
566,567,Sandefjord,Norwegian Tippeligaen,0.67,1.95,18.74
567,571,Hamilton Academical,Scottish Premiership,0.83,2.22,18.72
568,570,Miami FC,United Soccer League,0.83,2.25,18.46
569,575,Accrington Stanley,English League One,0.6,1.84,18.45
570,563,Yokohama FC,Japanese J League,0.68,1.99,18.37
571,580,Kalmar FF,Swedish Allsvenskan,0.64,1.92,18.36
572,564,Reggiana,Italy Serie B,0.69,2.01,18.3
573,566,Falkenbergs FF,Swedish Allsvenskan,0.72,2.06,18.29
574,576,Saint Louis FC,United Soccer League,0.64,1.94,18.03
575,573,Cheltenham Town,English League Two,0.57,1.83,17.99
576,572,Plymouth Argyle,English League One,0.72,2.1,17.9
577,574,Ascoli,Italy Serie B,0.63,1.96,17.68
578,569,US Pescara,Italy Serie B,0.58,1.88,17.64
579,577,Swindon Town,English League One,0.74,2.17,17.56
580,594,Burton Albion,English League One,0.81,2.29,17.52
581,578,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
582,581,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
583,583,Charlotte Independence,United Soccer League,0.66,2.09,16.87
584,584,North Carolina FC,United Soccer League,0.65,2.09,16.69
585,579,Wigan,English League One,0.59,1.96,16.69
586,593,Leyton Orient,English League Two,0.65,2.12,16.3
587,586,LA Galaxy II,United Soccer League,0.84,2.45,16.26
588,588,Ross County,Scottish Premiership,0.59,2.04,15.75
589,585,Crewe Alexandra,English League One,0.49,1.85,15.68
590,590,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
591,591,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
592,596,Shrewsbury Town,English League One,0.56,2.01,15.5
593,589,AFC Wimbledon,English League One,0.52,1.94,15.45
594,595,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
595,587,Mjondalen,Norwegian Tippeligaen,0.54,2,15.18
596,582,Colchester United,English League Two,0.63,2.19,15.08
597,601,Bolton,English League Two,0.55,2.03,15.08
598,597,Oldham Athletic,English League Two,0.74,2.39,15.07
599,599,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
600,600,Hartford Athletic,United Soccer League,0.66,2.37,13.84
601,602,Cambridge United,English League Two,0.49,2.05,13.78
602,598,Rochdale,English League One,0.53,2.12,13.73
603,605,Tranmere Rovers,English League Two,0.48,2.06,13.49
604,603,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
605,606,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
606,607,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
607,604,Bristol Rovers,English League One,0.44,1.99,13.23
608,609,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
609,611,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
610,612,Northampton Town,English League One,0.47,2.13,12.5
611,613,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
612,614,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
613,610,Aalesund,Norwegian Tippeligaen,0.67,2.55,12.28
614,608,Crawley Town,English League Two,0.47,2.16,12.22
615,615,Forest Green Rovers,English League Two,0.41,2.02,12.2
616,617,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
617,618,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
618,619,Barrow,English League Two,0.51,2.34,11.36
619,621,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
620,616,Carlisle United,English League Two,0.4,2.14,11.15
621,620,Newport County,English League Two,0.35,2.03,10.96
622,622,Port Vale,English League Two,0.39,2.17,10.64
623,623,Mansfield Town,English League Two,0.4,2.24,10.24
624,624,Bradford City,English League Two,0.35,2.12,10.21
625,625,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
626,626,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
627,627,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
628,628,Atlanta United 2,United Soccer League,0.57,2.67,9.86
629,629,Grimsby Town,English League Two,0.33,2.27,8.79
630,630,Morecambe,English League Two,0.36,2.44,8.11
631,631,Stevenage,English League Two,0.2,2.1,7.6
632,633,Walsall,English League Two,0.22,2.18,7.4
633,634,Harrogate Town,English League Two,0.2,2.19,6.99
634,632,Scunthorpe,English League Two,0.24,2.33,6.88
635,635,Loudoun United FC,United Soccer League,0.34,2.65,6.51
636,637,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
637,636,Southend United,English League Two,0.2,2.45,5.59
